product,marketing_name,brand,cpu,cpu_make,device,memory_mb
crownlteser,Galaxy Note9,samsung,Exynos 9810,Samsung,crownlte,6144
lv7_trf_us,LG Fiesta LTE,lge,MSM8917,Qualcomm,lv7,1536
MITO_A36_W1,Mito_A36_W1,MITO,SC9863A,Spreadtrum,MITO_A36_W1,4096
9296X_TR,TCL 10 TABMAX,TCL,MT8183A,Mediatek,Transformer_WIFI,4096
C_Note_Pro,C_Note_Pro,Starlight,MT6739WA,Mediatek,C_Note_Pro,3072
i101T2,i101T2,EXO,T310,Spreadtrum,i101T2,4096
702LV,Lenovo TAB4,Lenovo,MSM8953,Qualcomm,702LV,2048
PD1965,V1965A,vivo,SM6125,Qualcomm,PD1965,8192
nash_sprint,Moto Z (2) Force,motorola,MSM8998,Qualcomm,nash,4096
La_Tab_107,La Tab 107 HD,LOGICOM,RK3126C,Rockchip,La_Tab_107,2048
P816T55,Z955L,zte,MSM8916,Qualcomm,leo,2048
A15_01,A15,Hybroad,AMLS905X,Amlogic,A15_01,2048
A201KC,かんたんスマホ2+,KYOCERA,MT6761,Mediatek,A201KC,3072
PD1913,V1913A,vivo,MT6768,Mediatek,PD1913,6144
TB132FU_EEA,Lenovo Tab P11 Pro (2nd Gen),Lenovo,MT8789,Mediatek,TB132FU,8192
9032X_TCL,TCL TAB 8 4G,TCL,MT8766B,Mediatek,Apollo_8_4G,2048
BD4a-RU,POP 5 LTE ,TECNO,MT6761V/CAB,Mediatek,TECNO-BD4a,2048
DM-01H,Disney Mobile on docomo DM-01H,DOCOMO,MSM8992,Qualcomm,DM-01H,3072
E76E_11,E76E_11,Hisense,MSM8937,Qualcomm,HS8937QC,3072
A80_RU,A80,Blackview,MT6737,Mediatek,A80,2048
AcerOne8T4-82Lxiii,Acer One 8 T4-82L,Acer,MT8766A,Mediatek,AcerOne8T4-82L,3072
CAN-L03,nova,HUAWEI,MSM8953,Qualcomm,HWCAN,3072
L8500C_FHD,L8500C,Toshiba,MSD6A918,MStar,L8500C,2048
quark_amxcl,Moto MAXX,motorola,APQ8084,Qualcomm,quark_umts,3072
100044018,	100044018,onn,MT8168B,Mediatek,100044018,2048
SEI400HM,Dongle Q,Homatics,AMLS905Y2,Amlogic,ICN,2048
Tab5NEU,Tab5NEU,Blackview,RK3326,Rockchip,Tab5NEU,3072
OPD2203,OnePlus Pad,OnePlus,MT8798Z/CNZA,Mediatek,OP59BCL1,8192
RD50T,RD50T,Remdun,MT6762,Mediatek,RD50T,4096
10BIZ332,10BIZ332,ELDMandate,SC9863A,Spreadtrum,10BIZ332,3072
B866V2-H_AMX_ATV_NI,Claro TV Box 4k,Claro,AMLS905X4,Amlogic,B866VH,2048
V420A_eea,Joy 2+,vsmart,SDM450,Qualcomm,V420A,2048
C18_Pro_EEA,C18 Pro,OUKITEL,MT6757,Mediatek,C18_Pro,4096
PM560,PM560,POINTMOBILE,QCS4290,Qualcomm,PM560,3072
Aqua_Tab_Ultra,Aqua Tab Ultra,Cherry_Mobile,T618,Spreadtrum,Aqua_Tab_Ultra,6144
PH7M_EU_5596,4K LED TV powered by Android,Philips,MT5596,Mediatek,PH7M_EU_5596,2560
sanders,Moto G (5S) Plus,motorola,MSM8953,Qualcomm,sanders,3072
a7y17lteskt,Galaxy A7(2017),samsung,Exynos 7880,Samsung,a7y17lteskt,3072
jd2019,Z5s,Lenovo,SDM710,Qualcomm,jd2019,6144
SATURN_SELFIE,SATURN Selfie,Vsun,MT6737T,Mediatek,SATURN_SELFIE,3072
Penguin,Penguin,EGOTEK,A100,Allwinner,Penguin,2048
C6603_1270-7280,Xperia Z,Sony,APQ8064,Qualcomm,C6603,2048
P720F05_1,ZTE 9050N,ZTE,T760,Spreadtrum,P720F05,6144
GS170,Gigaset GS170,Gigaset,MT6737,Mediatek,GS170,2048
a51xzc,Galaxy A51 5G,samsung,Exynos 980,Samsung,a51x,6144
j7topltemtr,Galaxy J7 Star,samsung,Exynos 7870,Samsung,j7topltemtr,2048
T863,T863,PERFORMANCE,A133,Allwinner,T863,2048
V2303T,V29e,vivo,SM6375,QTI,V2303,8192
JMM-L22,honor 6C Pro,HUAWEI,MT6750,Mediatek,HWJMM,3072
LED65XT810X3DU,LED65XT810X3DU,Hisense,MSD6A918,MStar,msd6a918,1536
BLU_STUDIO_ONE_PLUS,STUDIO ONE PLUS,BLU,MT6753,Mediatek,BLU_STUDIO_ONE_PLUS,2048
RS35_WW,RS35,CipherLab,SDM450,Qualcomm,RS35,3072
mdh5lm,LG K31,lge,MT6762,Mediatek,mdh5lm,2048
NASA_Plus,NASA_Plus,ADVAN,SC9832E,Spreadtrum,ADVAN_NASA_Plus,2048
P839A02_LA,B2016,ZTE,MSM8939,Qualcomm,msm8916_64,3072
MULTYNET_UHD_ATV,Pakistan,MULTYNET,T22,MStar,yeongdeungpo,1536
CN_I005D,ROG Phone 5,asus,SM8350,Qualcomm,ASUS_I005_1,16384
FZ_T1VUN_EEA,FZ-T1EUN,panasonic,MSM8909,Qualcomm,FZ-T1EUN,2048
N380i,N380i,DEXP,SC9832E,Spreadtrum,N380i,4096
Q110,Q110,DEXP,SC9863A,Spreadtrum,Q110,2048
